Date,Price per Gallon,Gallons,Miles,Service
3/19/2010,2.73,10.333,"26,317","oil change, tire rotation"
3/28/2010,,,"26,650","just a guess, don't have that receipt"
4/9/2010,2.739,10.384,"26,979"
4/26/2010,2.759,9.235,"27,281"
5/3/2010,2.939,10.02,"27,588"
5/13/2010,2.799,10.919,"27,938"
?,,,"28,320","just a guess, don't have that receipt"
6/3/2010,2.69,10.144,"28,647"
6/22/2010,2.619,10.202,"28,986"
6/27/2010,2.639,10.095,"29,328"
7/12/2010,2.599,10.406,"29,678"
7/21/2010,2.579,10.181,"30,029"
8/3/2010,2.96,9.428,"30,384"
8/13/2010,2.659,10.069,"30,724"
8/23/2010,2.639,10.123,"31,062",oil change
9/10/2010,2.63,10.23,"31,420","all 4 tires checked for holes, filled and smoothed"
9/28/2010,2.499,10.504,"31,787"
10/8/2010,2.639,10.242,"32,123"
10/19/2010,2.699,9.809,"32,463"
10/26/2010,2.739,9.749,"32,762"
11/10/2010,2.779,10.531,"33,104"
11/22/2010,2.939,9.969,"33,429"
12/7/2010,2.99,10.17,"33,759"
12/15/2010,2.979,9.601,"34,042"
1/4/2011,3.139,10.195,"34,350",oil change
1/11/2011,2.999,10.854,"34,692"
1/20/2011,3.17,10.429,"34,996"
1/28/2011,3.039,9.822,"35,291"
2/6/2011,3.239,10.188,"35,605"
2/15/2011,3.039,10.156,"35,921"
2/23/2011,3.099,10.686,"36,244"
3/4/2011,3.559,10.376,"36,557"
3/9/2011,3.459,10.289,"36,904"
3/15/2011,3.399,10.537,"37,234"
3/23/2011,3.49,10.361,"37,573"
3/29/2011,3.399,9.694,"37,869"
4/5/2011,3.539,10.449,"38,198"
4/12/2011,3.599,10.309,"38,529"
4/19/2011,3.799,9.549,"38,840"
4/27/2011,3.839,10.166,"39,177"
5/5/2011,3.939,10.435,"39,517"
5/13/2011,3.899,10.03,"39,861","oil change, tire rotation, fuel system cleaning (better mileage henceforth?)"
5/20/2011,3.859,9.591,"40,160"
5/30/2011,3.939,10.67,"40,493"
6/7/2011,3.639,10.223,"40,834"
6/13/2011,3.639,10.11,"41,172"
6/28/2011,3.68,10.571,"42,189"
7/6/2011,3.559,11.166,"42,548"
7/13/2011,3.599,10.338,"42,888"
7/15/2011,3.639,10.477,"43,242"
7/22/2011,3.679,10.287,"43,583",oil change
7/30/2011,3.759,10.242,"43,921"
8/11/2011,3.579,9.586,"44,245"
8/19/2011,3.479,10.197,"44,597",recall check - no need to update the car's computer though
8/26/2011,3.559,10.518,"44,933"
9/2/2011,3.459,9.465,"45,257",(Costco)
9/9/2011,3.559,10.578,"45,591",put air in tires because tire pressure was low - fill to 40psi
9/16/2011,3.399,10.026,"45,942"
10/15/2011,3.459,10.121,"46,264"
10/21/2011,3.299,10.291,"46,619"
10/27/2011,3.279,9.715,"46,981"
11/3/2011,3.259,9.874,"47,211","oil change, tire rotation, 27 point inspection"
11/10/2011,3.259,9.426,"47,497"
10/17/2011,3.199,10.135,"47,821"
11/23/2011,3.149,10.344,"48,143"
12/1/2011,3.139,9.588,"48,433"
12/8/2011,3.329,10.286,"48,744"
12/14/2011,3.129,9.529,"49,033"
12/22/2011,3.21,10.029,"49,330"
1/10/2011,3.209,10.261,"49,640"
1/17/2011,3.249,9.979,"49,935"
1/24/2011,3.269,10.631,"50,249"
1/31/2012,3.269,10.468,"50,564"
2/8/2012,3.379,9.947,"50,871"
2/15/2012,3.599,10.139,"51,171"
2/21/2012,3.499,9.425,"51,461"
2/28/2012,3.599,10.246,"51,786"
3/6/2012,3.599,10.145,"52,088"
3/12/2012,3.599,9.39,"52,370"
